"session_id","Total_requests","Total_Bytes","Total_GET_requests","Total_POST_requests","Total_3xx_responses","Total_4xx_responses","per_image_requests","per_css_request","per_js_requests","Depth_SD","Max_requests_per_page","Average_requests_per_page","Max_sequential_request","per_sequential_requests","Session_time","Browsing_speed","SD_request_time"
97hf7ciplt2k54f5j6109nekn0,157,70114,8,149,0.0,0.0,0.0,0.006369426751592357,0.03184713375796178,0.1121453303290383,143,15.7,157,1.0,277.0,0.036101083032490974,0.5879915874060775
46hm95bnvnuglhj1i1906nc80u,29,24199,16,13,0.0,0.0,0.0,0.13793103448275862,0.1724137931034483,0.40508069394726653,9,2.6363636363636362,29,1.0,11.0,1.0,0.6650793628271002
mtilohhtbsshka38svllisk0am,18,17012,9,9,0.0,0.0,0.0,0.05555555555555555,0.2777777777777778,0.3142696805273545,8,1.8,18,1.0,15.0,0.6666666666666666,0.9574271077563381
66vt430cgmgpus1k96japf46pf,326,200283,43,283,0.0,0.0,0.0,0.003067484662576687,0.015337423312883436,0.30651831857020384,264,16.3,326,1.0,512.0,0.0390625,0.813756910035398
igirlpfg3oft6i3dl8ah549gqi,319,222003,40,279,0.0,0.0,0.0,0.003134796238244514,0.01567398119122257,0.3354085485917305,262,13.869565217391305,319,1.0,528.0,0.043560606060606064,0.7998216210167726
uqhd4i1019lcou4b0s1l1vdq87,204,123901,29,175,0.0,0.0,0.0,0.004901960784313725,0.024509803921568627,0.2866285079616415,164,12.75,204,1.0,333.0,0.04804804804804805,0.8558520309971449
moqasnr56raoh1gq94vqlngt50,141,82296,27,114,0.0,0.0,0.0,0.0070921985815602835,0.03546099290780142,0.3383506508333777,100,10.071428571428571,141,1.0,199.0,0.07035175879396985,0.9533139063572512
o2dutldgeigipiq4cd4t69mgr7,347,209904,42,305,0.0,0.0,0.0,0.002881844380403458,0.01440922190201729,0.30230533814278626,285,17.35,347,1.0,581.0,0.03442340791738382,0.8725756519172497
0erfuds6s7kpisp8j1pphnombt,195,121226,37,158,0.0,0.0,0.0,0.005128205128205128,0.02564102564102564,0.3453837587791331,142,10.263157894736842,195,1.0,314.0,0.06050955414012739,1.1148864198318926
c7rlbj17lequj24elhrere5g13,265,154696,35,230,0.0,0.0,0.0,0.0037735849056603774,0.018867924528301886,0.27842817729353536,213,13.947368421052632,265,1.0,428.0,0.04439252336448598,0.8572435479687193
kn4jl5vb5fita9bo6cu1b6jrk8,315,181350,41,274,0.0,0.0,0.0,0.0031746031746031746,0.015873015873015872,0.2937837536827752,255,18.529411764705884,315,1.0,526.0,0.03231939163498099,0.9009051745521809
m2d7pem8vph8npifco3ogcf8on,135,91084,27,108,0.0,0.0,0.0,0.007407407407407408,0.037037037037037035,0.3391266116225065,98,8.4375,135,1.0,196.0,0.08163265306122448,0.9003581058628101
