"session_id","Total_requests","Total_Bytes","Total_GET_requests","Total_POST_requests","Total_3xx_responses","Total_4xx_responses","per_image_requests","per_css_request","per_js_requests","Depth_SD","Max_requests_per_page","Average_requests_per_page","Max_sequential_request","per_sequential_requests","Session_time","Browsing_speed","SD_request_time"
g2gh9qmk9krld14h5uojlg7g10,212,132953,29,183,0.0,0.0,0.0,0.0047169811320754715,0.02358490566037736,0.3760590835470707,172,12.470588235294118,212,1.0,336.0,0.050595238095238096,0.7993856665779192
kaodsjbnqm7umgfvao63d3rihb,298,203311,36,262,0.0,0.0,0.0,0.003355704697986577,0.016778523489932886,0.3223747801106704,249,15.68421052631579,298,1.0,484.0,0.03925619834710744,0.7595168904910072
1aqgqrcuurlmvvbbpirvsh7e53,206,128459,32,174,0.0,0.0,0.0,0.009708737864077669,0.024271844660194174,0.38765107095640633,162,12.117647058823529,206,1.0,311.0,0.05466237942122187,0.8518414733674878
igbeqcjnbst8afmoi4sg6tn669,188,180779,39,149,0.0,0.0,0.0,0.05851063829787234,0.026595744680851064,0.29952996224044864,139,11.058823529411764,188,1.0,269.0,0.06319702602230483,0.8694002084764346
vopb1c4o3o2dpsov8jinbbou5h,348,218947,52,296,0.0,0.0,0.0,0.04597701149425287,0.014367816091954023,0.3023665847808254,281,19.333333333333332,348,1.0,547.0,0.03290676416819013,0.811561611935268
mlrcehe439iiene6e485tni66i,204,172177,42,162,0.0,0.0,0.0,0.04411764705882353,0.024509803921568627,0.3833571528630814,149,12.0,204,1.0,288.0,0.059027777777777776,1.8516179526770349
ss0e28413uif2hd88q186t7tj8,284,201441,46,238,0.0,0.0,0.0,0.045774647887323945,0.017605633802816902,0.3249372392974459,226,15.777777777777779,284,1.0,441.0,0.04081632653061224,0.8183798544644264
i49goovgc8d214dbipv8o6504l,272,171649,46,226,0.0,0.0,0.0,0.051470588235294115,0.01838235294117647,0.36380343755449945,213,16.0,272,1.0,417.0,0.0407673860911271,0.8218124828209993
8ikvavmgf5jc51c5goirm6gd5i,186,154627,41,145,0.0,0.0,0.0,0.021505376344086023,0.026881720430107527,0.3939433355209112,131,10.333333333333334,186,1.0,246.0,0.07317073170731707,0.9293458252185763
euj4q1fvb0h7sgca0ngnkb88gs,150,107075,36,114,0.0,0.0,0.0,0.05333333333333334,0.03333333333333333,0.37267799624996495,103,9.375,150,1.0,194.0,0.08247422680412371,0.9276972686292778
0oa2dua3mli7mrr32c0gd4o0i2,119,86064,26,93,0.0,0.0,0.0,0.03361344537815126,0.04201680672268908,0.32524373916577526,85,8.5,119,1.0,162.0,0.08641975308641975,0.8862259934947714
nkoa2dl20gbqn2vrse8rol2vr6,137,93487,29,108,0.0,0.0,0.0,0.0072992700729927005,0.0364963503649635,0.4346591220718075,97,8.5625,137,1.0,184.0,0.08695652173913043,0.8914677162494614
7jbhkuigmbeo5m7ei6h4eefrmk,143,96216,34,109,0.0,0.0,0.0,0.06993006993006994,0.03496503496503497,0.43446782005619766,100,9.533333333333333,143,1.0,192.0,0.078125,0.9091984874486718
ognvhdn35j9b11cnclf6ej5gsj,206,169139,43,163,0.0,0.0,0.0,0.03398058252427184,0.024271844660194174,0.4002132055037079,150,12.117647058823529,206,1.0,290.0,0.05862068965517241,0.8969949097049397
dpo8vpnhg6ca53pj9di78t9513,171,113565,28,143,0.0,0.0,0.0,0.03508771929824561,0.029239766081871343,0.26074265274395264,135,11.4,171,1.0,263.0,0.057034220532319393,0.8182956327350552
aq1vgpqsqkke9um243ql2chuco,5311,2431137,7,5304,0.0,0.0,0.0,0.00018828845791752966,0.0009414422895876483,0.013720532255497402,5303,590.1111111111111,5311,1.0,10604.0,0.0008487363259147492,0.0845190793656048
1o1q64siv4eesglagbq44pjjle,16,17815,11,5,0.0,0.0,0.0,0.0625,0.3125,0.4841229182759271,3,1.4545454545454546,16,1.0,5.0,2.2,0.6817945071647321
a3a1dk266amo3634m4p2tpog6g,60,52910,29,31,0.0,0.0,0.0,0.016666666666666666,0.08333333333333333,0.5107184482014855,19,4.0,60,1.0,29.0,0.5172413793103449,0.7851043808875917
2plqdrutng0gghb9ntoqp215d6,86,80635,32,54,0.0,0.0,0.0,0.011627906976744186,0.05813953488372093,0.43211405060609404,42,5.0588235294117645,86,1.0,100.0,0.17,1.2090786913075309
j2q3t0kjsajvculauug5s903cd,98,65837,27,71,0.0,0.0,0.0,0.01020408163265306,0.05102040816326531,0.4010866123884397,59,6.533333333333333,98,1.0,130.0,0.11538461538461539,1.1673754813122523
hvtn2cbbipcjc88sjuuq7k0br2,114,82888,40,74,0.0,0.0,0.0,0.10526315789473684,0.043859649122807015,0.391113979115929,62,6.333333333333333,114,1.0,144.0,0.125,1.060061497545319
mgjd1l76a6rfo7kcfiofk428na,104,73207,26,78,0.0,0.0,0.0,0.019230769230769232,0.04807692307692308,0.39866177772361305,66,6.5,104,1.0,142.0,0.11267605633802817,1.074688615972913
hahdsuj7fgsont1nmi7neiljo3,63,66339,30,33,0.0,0.0,0.0,0.015873015873015872,0.07936507936507936,0.5302632726504782,21,3.7058823529411766,63,1.0,30.0,0.5666666666666667,0.7939681905015745
7dg3853c6l0blec3okri7u3299,59,62161,30,29,0.0,0.0,0.0,0.01694915254237288,0.0847457627118644,0.5229575803573395,17,3.6875,59,1.0,26.0,0.6153846153846154,0.742674654244293
01o7p78e2bnu1814jn5k4uqke4,64,53978,31,33,0.0,0.0,0.0,0.015625,0.078125,0.5170435033679468,21,3.764705882352941,64,1.0,31.0,0.5483870967741935,0.7904149918713587
bthk3e1tfcka1m2l41sqtfpbr0,66,59608,31,35,0.0,0.0,0.0,0.015151515151515152,0.07575757575757576,0.5701481127947509,23,3.6666666666666665,66,1.0,36.0,0.5,0.8560270843530626
lq8dub264g9l1e0ust78o4q9ui,64,58388,31,33,0.0,0.0,0.0,0.015625,0.078125,0.48588474392081915,21,3.764705882352941,64,1.0,33.0,0.5151515151515151,0.8099418864184023
