"session_id","Total_requests","Total_Bytes","Total_GET_requests","Total_POST_requests","Total_3xx_responses","Total_4xx_responses","per_image_requests","per_css_request","per_js_requests","Depth_SD","Max_requests_per_page","Average_requests_per_page","Max_sequential_request","per_sequential_requests","Session_time","Browsing_speed","SD_request_time"
g2gh9qmk9krld14h5uojlg7g10,40,54258,29,11,0.0,0.0,0.0,0.025,0.125,0.8645808232895291,12,2.5,40,1.0,336.0,0.047619047619047616,16.841615124446943
kaodsjbnqm7umgfvao63d3rihb,49,88486,36,13,0.0,0.0,0.0,0.02040816326530612,0.10204081632653061,0.793035070519406,14,2.7222222222222223,49,1.0,484.0,0.0371900826446281,24.23998438493909
1aqgqrcuurlmvvbbpirvsh7e53,44,54209,32,12,0.0,0.0,0.0,0.045454545454545456,0.11363636363636363,0.83659828724118,13,2.75,44,1.0,311.0,0.05144694533762058,16.314240471096422
igbeqcjnbst8afmoi4sg6tn669,49,118368,39,10,0.0,0.0,0.0,0.22448979591836735,0.10204081632653061,0.5801089960633427,11,3.0625,49,1.0,265.0,0.06037735849056604,12.986521061449325
vopb1c4o3o2dpsov8jinbbou5h,67,89799,52,15,0.0,0.0,0.0,0.23880597014925373,0.07462686567164178,0.6807017463278435,16,3.9411764705882355,67,1.0,547.0,0.031078610603290677,20.521991855062826
mlrcehe439iiene6e485tni66i,55,102095,42,13,0.0,0.0,0.0,0.16363636363636364,0.09090909090909091,0.7376531918218472,13,3.4375,55,1.0,288.0,0.05555555555555555,11.17784112570066
ss0e28413uif2hd88q186t7tj8,58,98455,46,12,0.0,0.0,0.0,0.22413793103448276,0.08620689655172414,0.7183678157241261,13,3.411764705882353,58,1.0,441.0,0.03854875283446712,18.613991451716263
i49goovgc8d214dbipv8o6504l,59,76012,46,13,0.0,0.0,0.0,0.23728813559322035,0.0847457627118644,0.7811334658849433,14,3.6875,59,1.0,417.0,0.03836930455635491,15.336744850283596
8ikvavmgf5jc51c5goirm6gd5i,55,95808,41,14,0.0,0.0,0.0,0.07272727272727272,0.09090909090909091,0.7204222820421436,15,3.235294117647059,55,1.0,246.0,0.06910569105691057,10.887615225073679
euj4q1fvb0h7sgca0ngnkb88gs,47,60828,36,11,0.0,0.0,0.0,0.1702127659574468,0.10638297872340426,0.6599175497562053,12,3.1333333333333333,47,1.0,194.0,0.07731958762886598,8.539313394284846
0oa2dua3mli7mrr32c0gd4o0i2,34,47899,26,8,0.0,0.0,0.0,0.11764705882352941,0.14705882352941177,0.5830655176940885,9,2.6153846153846154,34,1.0,162.0,0.08024691358024691,10.166435038108641
nkoa2dl20gbqn2vrse8rol2vr6,40,49935,29,11,0.0,0.0,0.0,0.025,0.125,0.8,12,2.6666666666666665,40,1.0,184.0,0.08152173913043478,9.340235543068493
7jbhkuigmbeo5m7ei6h4eefrmk,43,51316,34,9,0.0,0.0,0.0,0.23255813953488372,0.11627906976744186,0.7920644821361116,10,3.0714285714285716,43,1.0,192.0,0.07291666666666667,9.364328250928112
ognvhdn35j9b11cnclf6ej5gsj,56,98808,43,13,0.0,0.0,0.0,0.125,0.08928571428571429,0.7674417481051535,14,3.5,56,1.0,290.0,0.05517241379310345,12.608255717778649
dpo8vpnhg6ca53pj9di78t9513,36,51438,28,8,0.0,0.0,0.0,0.16666666666666666,0.1388888888888889,0.5328701692569688,9,2.5714285714285716,36,1.0,263.0,0.053231939163498096,17.181740056176636
aq1vgpqsqkke9um243ql2chuco,8,9036,7,1,0.0,0.0,0.0,0.125,0.625,0.33071891388307384,1,1.0,8,1.0,2.0,4.0,0.6614378277661477
1o1q64siv4eesglagbq44pjjle,13,16468,11,2,0.0,0.0,0.0,0.07692307692307693,0.38461538461538464,0.532938710021193,3,1.3,13,1.0,5.0,2.0,0.737820234355803
a3a1dk266amo3634m4p2tpog6g,41,44379,29,12,0.0,0.0,0.0,0.024390243902439025,0.12195121951219512,0.6053499339507735,12,2.9285714285714284,41,1.0,29.0,0.4827586206896552,1.2345415351067086
2plqdrutng0gghb9ntoqp215d6,44,61620,32,12,0.0,0.0,0.0,0.022727272727272728,0.11363636363636363,0.5869623440974981,13,2.75,44,1.0,100.0,0.16,2.741628881818222
j2q3t0kjsajvculauug5s903cd,39,39189,27,12,0.0,0.0,0.0,0.02564102564102564,0.1282051282051282,0.5969459859909135,12,2.7857142857142856,39,1.0,130.0,0.1076923076923077,5.215034151046491
hvtn2cbbipcjc88sjuuq7k0br2,52,54893,40,12,0.0,0.0,0.0,0.23076923076923078,0.09615384615384616,0.567877810008977,12,3.0588235294117645,52,1.0,144.0,0.11805555555555555,3.8411505919219677
mgjd1l76a6rfo7kcfiofk428na,38,43573,26,12,0.0,0.0,0.0,0.05263157894736842,0.13157894736842105,0.6429890380458219,12,2.533333333333333,38,1.0,142.0,0.1056338028169014,5.432282696147056
hahdsuj7fgsont1nmi7neiljo3,42,56910,30,12,0.0,0.0,0.0,0.023809523809523808,0.11904761904761904,0.6375441828093279,12,2.625,42,1.0,30.0,0.5333333333333333,1.200906686944618
